Invoice ID,Branch,Customer type,Gender,ProductID,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,ProductLineID,ProductLine,,,,ProductID1,Unit price,ProductLine1,,,ProductLineID2,Product line 2
491-38-3499,A,Member,Male,PID105,1,2.7725,58.2225,2/26/2019,17:46,Credit card,55.45,4.761904762,2.7725,4.9,PD001,Health and beauty,,,,PID106,55.45,PD004,,,,
588-47-8641,A,Member,Male,PID106,10,28.02,588.42,1/14/2019,19:30,Ewallet,560.4,4.761904762,28.02,4.4,PD004,Sports and travel,,,,PID107,56.04,PD005,,,,
274-05-5470,A,Member,Female,PID107,4,14.694,308.574,2/23/2019,18:30,Cash,293.88,4.761904762,14.694,6,PD005,Food and beverages,,,,PID108,73.47,PD003,,,,
130-67-4723,A,Member,Male,PID108,6,14.55,305.55,1/11/2019,13:57,Ewallet,291,4.761904762,14.55,9.4,PD003,Home and lifestyle,,,,PID109,48.5,PD002,,,,
105-10-6182,A,Member,Male,PID109,2,2.148,45.108,2/27/2019,12:22,Ewallet,42.96,4.761904762,2.148,6.6,PD002,Electronic accessories,,,,PID11,21.48,PD001,,,,
817-48-8732,A,Member,Female,PID11,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4,PD001,Health and beauty,,,,PID110,72.35,PD003,,,,
648-83-1321,A,Member,Male,PID110,10,31.78,667.38,1/16/2019,17:59,Cash,635.6,4.761904762,31.78,4.3,PD003,Home and lifestyle,,,,PID111,63.56,PD002,,,,
689-05-1884,A,Member,Male,PID111,10,24.315,510.615,3/4/2019,12:44,Cash,486.3,4.761904762,24.315,8.8,PD002,Electronic accessories,,,,PID112,48.63,PD004,,,,
800-09-8606,A,Member,Female,PID112,5,21.8425,458.6925,1/29/2019,19:45,Cash,436.85,4.761904762,21.8425,6.6,PD004,Sports and travel,,,,PID113,87.37,PD003,,,,
182-52-7000,A,Member,Female,PID113,4,5.408,113.568,1/1/2019,20:26,Ewallet,108.16,4.761904762,5.408,6.9,PD003,Home and lifestyle,,,,PID114,27.04,PD006,,,,
868-06-0466,A,Member,Male,PID114,9,31.311,657.531,2/19/2019,19:38,Credit card,626.22,4.761904762,31.311,7.8,PD006,Fashion accessories,,,,PID115,69.58,PD006,,,,
786-94-2700,A,Member,Male,PID115,6,24.186,507.906,2/28/2019,20:18,Cash,483.72,4.761904762,24.186,9.1,PD006,Fashion accessories,,,,PID116,80.62,PD005,,,,
857-16-3520,A,Member,Female,PID116,7,25.011,525.231,3/28/2019,16:06,Ewallet,500.22,4.761904762,25.011,4.5,PD005,Food and beverages,,,,PID117,71.46,PD001,,,,
482-17-1179,A,Member,Male,PID117,3,1.791,37.611,1/19/2019,12:47,Credit card,35.82,4.761904762,1.791,8.1,PD001,Health and beauty,,,,PID118,11.94,PD006,,,,
247-11-2470,A,Member,Female,PID118,4,4.464,93.744,3/1/2019,16:23,Credit card,89.28,4.761904762,4.464,4.4,PD006,Fashion accessories,,,,PID119,22.32,PD004,,,,
756-49-0168,A,Member,Male,PID119,1,0.985,20.685,2/8/2019,11:39,Ewallet,19.7,4.761904762,0.985,9.5,PD004,Sports and travel,,,,PID12,19.7,PD004,,,,
199-75-8169,A,Member,Male,PID12,10,7.905,166.005,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6,PD004,Sports and travel,,,,PID120,15.81,PD001,,,,
373-14-0504,A,Member,Female,PID120,2,7.163,150.423,2/12/2019,14:33,Ewallet,143.26,4.761904762,7.163,8.8,PD001,Health and beauty,,,,PID121,71.63,PD005,,,,
546-80-2899,A,Member,Male,PID121,2,3.769,79.149,2/20/2019,15:29,Ewallet,75.38,4.761904762,3.769,9.5,PD005,Food and beverages,,,,PID122,37.69,PD004,,,,
807-14-7833,A,Member,Female,PID122,10,8.71,182.91,2/22/2019,12:30,Ewallet,174.2,4.761904762,8.71,7,PD004,Sports and travel,,,,PID123,17.42,PD004,,,,
250-17-5703,A,Member,Male,PID123,10,9.425,197.925,2/27/2019,18:24,Ewallet,188.5,4.761904762,9.425,5.6,PD004,Sports and travel,,,,PID124,18.85,PD002,,,,
410-67-1709,A,Member,Female,PID124,8,25.552,536.592,1/20/2019,17:48,Ewallet,511.04,4.761904762,25.552,9.9,PD002,Electronic accessories,,,,PID125,63.88,PD001,,,,
587-73-4862,A,Member,Female,PID125,5,2.6725,56.1225,3/26/2019,11:07,Ewallet,53.45,4.761904762,2.6725,7.6,PD001,Health and beauty,,,,PID126,10.69,PD003,,,,
787-87-2010,A,Member,Male,PID126,4,11.1,233.1,1/20/2019,15:48,Credit card,222,4.761904762,11.1,6.6,PD003,Home and lifestyle,,,,PID127,55.5,PD003,,,,
307-04-2070,A,Member,Female,PID127,1,1.531,32.151,2/5/2019,14:14,Credit card,30.62,4.761904762,1.531,4.1,PD003,Home and lifestyle,,,,PID128,30.62,PD003,,,,
263-12-5321,A,Member,Male,PID128,7,32.41,680.61,2/27/2019,12:52,Credit card,648.2,4.761904762,32.41,9.3,PD003,Home and lifestyle,,,,PID129,92.6,PD004,,,,
864-24-7918,A,Member,Female,PID129,10,12.245,257.145,2/22/2019,15:15,Cash,244.9,4.761904762,12.245,8.1,PD004,Sports and travel,,,,PID13,24.49,PD005,,,,
877-22-3308,A,Member,Male,PID13,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8,PD005,Food and beverages,,,,PID130,15.87,PD002,,,,
529-56-3975,B,Member,Male,PID13,4,5.102,107.142,3/9/2020,17:03,Cash,102.04,4.761904762,5.102,6.8,PD005,Food and beverages,,,,PID131,25.51,PD001,,,,
759-29-9521,A,Member,Female,PID130,9,22.032,462.672,3/4/2019,11:27,Cash,440.64,4.761904762,22.032,8,PD002,Electronic accessories,,,,PID132,48.96,PD005,,,,
778-34-2523,A,Member,Female,PID131,8,19.448,408.408,1/24/2019,10:57,Cash,388.96,4.761904762,19.448,5,PD001,Health and beauty,,,,PID133,48.62,PD002,,,,
186-43-8965,A,Member,Female,PID132,2,4.768,100.128,2/24/2019,10:10,Credit card,95.36,4.761904762,4.768,4.1,PD005,Food and beverages,,,,PID134,47.68,PD006,,,,
569-76-2760,A,Member,Female,PID133,4,4.402,92.442,1/29/2019,18:15,Credit card,88.04,4.761904762,4.402,6.6,PD002,Electronic accessories,,,,PID135,22.01,PD005,,,,
760-53-9233,A,Member,Male,PID134,3,6.192,130.032,3/26/2019,18:37,Credit card,123.84,4.761904762,6.192,8.5,PD006,Fashion accessories,,,,PID136,41.28,PD005,,,,
416-17-9926,A,Member,Female,PID135,10,37.11,779.31,1/1/2019,14:42,Credit card,742.2,4.761904762,37.11,4.3,PD005,Food and beverages,,,,PID137,74.22,PD006,,,,
528-14-9470,A,Member,Male,PID136,1,4.565,95.865,2/14/2019,14:42,Ewallet,91.3,4.761904762,4.565,9.2,PD005,Food and beverages,,,,PID138,91.3,PD006,,,,
288-62-1085,A,Member,Male,PID137,5,9.635,202.335,1/9/2019,13:34,Ewallet,192.7,4.761904762,9.635,5.6,PD006,Fashion accessories,,,,PID139,38.54,PD003,,,,
860-73-6466,A,Member,Female,PID138,2,3.947,82.887,3/2/2019,16:16,Credit card,78.94,4.761904762,3.947,5,PD006,Fashion accessories,,,,PID14,39.47,PD003,,,,
804-38-3935,A,Member,Male,PID139,3,14.067,295.407,1/30/2019,11:32,Credit card,281.34,4.761904762,14.067,5.9,PD003,Home and lifestyle,,,,PID140,93.78,PD001,,,,
365-64-0521,B,Normal,Male,PID139,2,3.32,69.72,3/15/2020,12:20,Credit card,66.4,4.761904762,3.32,4.4,PD003,Home and lifestyle,,,,PID141,33.2,PD003,,,,
382-03-4532,A,Member,Female,PID14,1,0.9165,19.2465,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3,PD003,Home and lifestyle,,,,PID142,18.33,PD002,,,,
585-90-0249,A,Member,Male,PID140,1,3.663,76.923,1/27/2019,18:08,Ewallet,73.26,4.761904762,3.663,9.7,PD001,Health and beauty,,,,PID143,73.26,PD004,,,,
160-22-2687,A,Member,Female,PID141,5,23.9875,503.7375,1/23/2019,14:21,Ewallet,479.75,4.761904762,23.9875,8.8,PD003,Home and lifestyle,,,,PID144,95.95,PD003,,,,
748-45-2862,A,Member,Female,PID142,4,5.662,118.902,3/7/2019,18:35,Cash,113.24,4.761904762,5.662,8.2,PD002,Electronic accessories,,,,PID145,28.31,PD004,,,,
316-66-3011,A,Member,Female,PID143,9,21.4335,450.1035,1/23/2019,12:35,Cash,428.67,4.761904762,21.4335,5,PD004,Sports and travel,,,,PID146,47.63,PD004,,,,
840-76-5966,A,Member,Male,PID144,2,1.276,26.796,1/8/2019,18:06,Ewallet,25.52,4.761904762,1.276,7.8,PD003,Home and lifestyle,,,,PID147,12.76,PD001,,,,
124-31-1458,A,Member,Female,PID145,3,11.9385,250.7085,1/8/2019,14:30,Cash,238.77,4.761904762,11.9385,6.6,PD004,Sports and travel,,,,PID148,79.59,PD001,,,,
873-14-6353,A,Member,Male,PID146,7,8.687,182.427,2/16/2019,10:33,Credit card,173.74,4.761904762,8.687,7.1,PD004,Sports and travel,,,,PID149,24.82,PD001,,,,
166-19-2553,A,Member,Male,PID147,6,26.718,561.078,1/18/2019,17:26,Cash,534.36,4.761904762,26.718,9.9,PD001,Health and beauty,,,,PID15,89.06,PD006,,,,
737-88-5876,A,Member,Male,PID148,4,4.658,97.818,3/19/2019,11:52,Credit card,93.16,4.761904762,4.658,5.9,PD001,Health and beauty,,,,PID150,23.29,PD004,,,,
291-55-6563,A,Member,Female,PID149,6,10.326,216.846,3/30/2019,12:45,Ewallet,206.52,4.761904762,10.326,7.5,PD001,Health and beauty,,,,PID151,34.42,PD001,,,,
381-20-0914,A,Member,Female,PID15,9,9.0045,189.0945,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7,PD006,Fashion accessories,,,,PID152,20.01,PD005,,,,
548-48-3156,A,Member,Female,PID150,2,8.334,175.014,3/19/2019,13:37,Cash,166.68,4.761904762,8.334,7.6,PD004,Sports and travel,,,,PID153,83.34,PD006,,,,
325-89-4209,A,Member,Male,PID151,1,4.395,92.295,2/5/2019,19:42,Ewallet,87.9,4.761904762,4.395,6.7,PD001,Health and beauty,,,,PID154,87.9,PD005,,,,
884-80-6021,A,Member,Female,PID152,10,36.735,771.435,3/23/2019,13:14,Ewallet,734.7,4.761904762,36.735,9.5,PD005,Food and beverages,,,,PID155,73.47,PD002,,,,
880-46-5796,A,Member,Male,PID153,10,38.46,807.66,3/17/2019,19:53,Ewallet,769.2,4.761904762,38.46,5.6,PD006,Fashion accessories,,,,PID156,76.92,PD003,,,,
146-09-5432,A,Member,Male,PID154,9,15.768,331.128,2/9/2019,19:17,Ewallet,315.36,4.761904762,15.768,4.6,PD005,Food and beverages,,,,PID157,35.04,PD002,,,,
595-94-9924,A,Member,Female,PID155,5,6.9325,145.5825,3/26/2019,20:21,Credit card,138.65,4.761904762,6.9325,4.2,PD002,Electronic accessories,,,,PID158,27.73,PD006,,,,
186-71-5196,A,Member,Female,PID156,2,7.954,167.034,3/27/2019,16:30,Ewallet,159.08,4.761904762,7.954,6.2,PD003,Home and lifestyle,,,,PID159,79.54,PD006,,,,
522-57-8364,A,Member,Male,PID157,8,20.536,431.256,1/31/2019,10:00,Ewallet,410.72,4.761904762,20.536,7.6,PD002,Electronic accessories,,,,PID16,51.34,PD005,,,,
459-45-2396,A,Member,Female,PID158,3,14.94,313.74,2/25/2019,18:45,Cash,298.8,4.761904762,14.94,5.8,PD006,Fashion accessories,,,,PID160,99.6,PD001,,,,
397-25-8725,A,Member,Female,PID159,9,17.829,374.409,1/13/2019,17:54,Credit card,356.58,4.761904762,17.829,6.8,PD006,Fashion accessories,,,,PID161,39.62,PD001,,,,
633-44-8566,A,Member,Male,PID16,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3,PD005,Food and beverages,,,,PID162,49.38,PD005,,,,
131-70-8179,A,Member,Female,PID160,3,13.8135,290.0835,2/17/2019,16:27,Cash,276.27,4.761904762,13.8135,4.2,PD001,Health and beauty,,,,PID163,92.09,PD005,,,,
333-23-2632,A,Member,Male,PID161,7,3.528,74.088,3/28/2019,20:14,Cash,70.56,4.761904762,3.528,4.2,PD001,Health and beauty,,,,PID164,10.08,PD005,,,,
384-59-6655,A,Member,Female,PID162,9,44.397,932.337,2/19/2019,15:07,Cash,887.94,4.761904762,44.397,8.4,PD005,Food and beverages,,,,PID165,98.66,PD004,,,,
324-92-3863,A,Member,Male,PID163,2,2.089,43.869,2/5/2019,18:45,Cash,41.78,4.761904762,2.089,9.8,PD005,Food and beverages,,,,PID166,20.89,PD004,,,,
195-06-0432,A,Member,Male,PID164,3,12.1515,255.1815,1/13/2019,12:55,Credit card,243.03,4.761904762,12.1515,9.3,PD005,Food and beverages,,,,PID167,81.01,PD006,,,,
139-32-4183,A,Member,Female,PID165,9,43.866,921.186,3/14/2019,14:19,Ewallet,877.32,4.761904762,43.866,7.4,PD004,Sports and travel,,,,PID168,97.48,PD005,,,,
727-02-1313,A,Member,Male,PID166,1,1.592,33.432,2/9/2019,13:22,Cash,31.84,4.761904762,1.592,7.7,PD004,Sports and travel,,,,PID169,31.84,PD004,,,,
849-09-3807,A,Member,Female,PID167,7,30.919,649.299,2/18/2019,13:28,Cash,618.38,4.761904762,30.919,6.6,PD006,Fashion accessories,,,,PID17,88.34,PD001,,,,
631-41-3108,A,Normal,Male,PID168,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4,PD005,Food and beverages,,,,PID170,46.33,PD003,,,,
373-73-7910,A,Normal,Male,PID169,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,PD004,Sports and travel,,,,PID171,86.31,PD004,,,,
873-51-0671,A,Member,Female,PID17,7,7.693,161.553,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1,PD001,Health and beauty,,,,PID172,21.98,PD004,,,,
365-64-0515,A,Normal,Female,PID170,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,PD003,Home and lifestyle,,,,PID173,46.95,PD001,,,,
252-56-2699,A,Normal,Male,PID171,10,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2,PD004,Sports and travel,,,,PID174,43.19,PD001,,,,
829-34-3910,A,Normal,Female,PID172,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7,PD004,Sports and travel,,,,PID175,71.38,PD002,,,,
765-26-6951,A,Normal,Male,PID173,6,21.783,457.443,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9,PD001,Health and beauty,,,,PID176,72.61,PD001,,,,
329-62-1586,A,Normal,Male,PID174,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6,PD001,Health and beauty,,,,PID177,54.67,PD002,,,,
636-48-8204,A,Normal,Male,PID175,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9,PD002,Electronic accessories,,,,PID178,34.56,PD005,,,,
189-17-4241,A,Normal,Female,PID176,2,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7,PD001,Health and beauty,,,,PID179,87.67,PD003,,,,
848-62-7243,A,Normal,Male,PID177,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4,PD002,Electronic accessories,,,,PID18,24.89,PD006,,,,
595-11-5460,A,Normal,Male,PID178,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1,PD005,Food and beverages,,,,PID180,96.58,PD006,,,,
272-65-1806,A,Normal,Female,PID179,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7,PD003,Home and lifestyle,,,,PID181,60.88,PD002,,,,
704-48-3927,A,Member,Male,PID18,10,44.335,931.035,1/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3,PD006,Fashion accessories,,,,PID182,88.67,PD005,,,,
635-40-6220,A,Normal,Male,PID180,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6,PD006,Fashion accessories,,,,PID183,89.6,PD001,,,,
232-11-3025,A,Normal,Male,PID181,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4,PD002,Electronic accessories,,,,PID184,78.77,PD002,,,,
287-21-9091,A,Normal,Male,PID182,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,PD005,Food and beverages,,,,PID185,74.67,PD006,,,,
504-35-8843,A,Normal,Male,PID183,1,2.1235,44.5935,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7,PD001,Health and beauty,,,,PID186,42.47,PD004,,,,
594-34-4444,A,Normal,Male,PID184,1,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2,PD002,Electronic accessories,,,,PID187,97.16,PD005,,,,
865-92-6136,A,Normal,Male,PID185,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,PD006,Fashion accessories,,,,PID188,52.75,PD002,,,,
212-62-1842,A,Normal,Male,PID186,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9,PD004,Sports and travel,,,,PID189,58.26,PD004,,,,
630-74-5166,A,Normal,Male,PID187,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4,PD005,Food and beverages,,,,PID19,62.13,PD001,,,,
642-32-2990,A,Normal,Female,PID188,10,5.48,115.08,2/2/2019,20:48,Ewallet,109.6,4.761904762,5.48,6,PD002,Electronic accessories,,,,PID190,10.96,PD006,,,,
638-60-7125,A,Normal,Female,PID189,8,39.824,836.304,2/14/2019,17:03,Credit card,796.48,4.761904762,39.824,5.2,PD004,Sports and travel,,,,PID191,99.56,PD003,,,,
645-44-1170,A,Member,Male,PID19,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,PD001,Health and beauty,,,,PID192,58.07,PD003,,,,
668-90-8900,A,Normal,Female,PID190,7,32.7915,688.6215,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5,PD006,Fashion accessories,,,,PID193,93.69,PD006,,,,
870-54-3162,A,Normal,Female,PID191,5,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,4.761904762,8.0625,9,PD003,Home and lifestyle,,,,PID194,32.25,PD006,,,,
700-81-1757,A,Normal,Female,PID192,5,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,4.761904762,6.5775,8.8,PD003,Home and lifestyle,,,,PID195,26.31,PD006,,,,
575-30-8091,A,Normal,Male,PID193,8,29,609,3/16/2019,19:25,Ewallet,580,4.761904762,29,9.2,PD006,Fashion accessories,,,,PID196,72.5,PD005,,,,
239-10-7476,A,Normal,Female,PID194,6,23.385,491.085,1/21/2019,16:37,Ewallet,467.7,4.761904762,23.385,8,PD006,Fashion accessories,,,,PID197,77.95,PD003,,,,
238-49-0436,A,Normal,Male,PID195,8,12.984,272.664,3/27/2019,13:48,Credit card,259.68,4.761904762,12.984,4.9,PD006,Fashion accessories,,,,PID198,32.46,PD002,,,,
746-94-0204,A,Normal,Male,PID196,9,37.458,786.618,1/29/2019,11:56,Credit card,749.16,4.761904762,37.458,7.4,PD005,Food and beverages,,,,PID199,83.24,PD004,,,,
275-28-0149,A,Normal,Male,PID197,1,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,4.761904762,3.1845,6,PD003,Home and lifestyle,,,,PID20,63.69,PD004,,,,
101-17-6199,A,Normal,Male,PID198,7,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,4.761904762,16.0265,7,PD002,Electronic accessories,,,,PID200,45.79,PD003,,,,
687-47-8271,A,Normal,Male,PID199,10,49.49,1039.29,2/8/2019,16:20,Credit card,989.8,4.761904762,49.49,8.7,PD004,Sports and travel,,,,PID201,98.98,PD006,,,,
802-70-5316,A,Member,Female,PID20,6,27.639,580.419,3/6/2019,20:34,Cash,552.78,4.761904762,27.639,8.3,PD004,Sports and travel,,,,PID202,92.13,PD003,,,,
796-32-9050,A,Normal,Male,PID200,6,15.384,323.064,1/19/2019,16:31,Cash,307.68,4.761904762,15.384,6.5,PD003,Home and lifestyle,,,,PID203,51.28,PD004,,,,
249-42-3782,A,Normal,Male,PID201,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,350.05,4.761904762,17.5025,5.5,PD006,Fashion accessories,,,,PID204,70.01,PD006,,,,
407-63-8975,A,Normal,Male,PID202,6,22.164,465.444,3/23/2019,19:16,Ewallet,443.28,4.761904762,22.164,4.4,PD003,Home and lifestyle,,,,PID205,73.88,PD005,,,,
586-25-0848,A,Normal,Female,PID203,7,4.319,90.699,3/4/2019,11:19,Credit card,86.38,4.761904762,4.319,6.7,PD004,Sports and travel,,,,PID206,12.34,PD004,,,,
400-60-7251,A,Normal,Male,PID204,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,74.07,4.761904762,3.7035,9.9,PD006,Fashion accessories,,,,PID207,74.07,PD006,,,,
831-07-6050,A,Normal,Male,PID205,5,8.1775,171.7275,3/19/2019,11:30,Credit card,163.55,4.761904762,8.1775,9.9,PD005,Food and beverages,,,,PID208,32.71,PD004,,,,
856-22-8149,A,Normal,Female,PID206,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,25.29,4.761904762,1.2645,6.1,PD004,Sports and travel,,,,PID209,25.29,PD002,,,,
749-24-1565,A,Normal,Female,PID207,9,10.3635,217.6335,1/3/2019,12:02,Ewallet,207.27,4.761904762,10.3635,7.9,PD006,Fashion accessories,,,,PID21,23.03,PD001,,,,
888-02-0338,A,Normal,Male,PID208,9,11.8035,247.8735,1/25/2019,20:24,Ewallet,236.07,4.761904762,11.8035,5.9,PD004,Sports and travel,,,,PID210,26.23,PD006,,,,
529-56-3982,A,Member,Female,PID208,8,21.036,441.756,3/22/2020,19:20,Credit card,420.72,4.761904762,21.036,8.5,PD004,Sports and travel,,,,PID211,52.59,PD002,,,,
802-43-8934,A,Normal,Male,PID209,1,0.914,19.194,3/22/2019,15:05,Credit card,18.28,4.761904762,0.914,8.3,PD002,Electronic accessories,,,,PID212,18.28,PD003,,,,
354-39-5160,A,Member,Female,PID21,6,10.326,216.846,2/18/2019,15:39,Cash,206.52,4.761904762,10.326,9.8,PD001,Health and beauty,,,,PID213,34.42,PD004,,,,
213-72-6612,A,Normal,Male,PID210,2,4.325,90.825,3/20/2019,15:56,Cash,86.5,4.761904762,4.325,6.2,PD006,Fashion accessories,,,,PID214,43.25,PD004,,,,
721-86-6247,A,Normal,Female,PID211,8,25.368,532.728,3/11/2019,12:55,Ewallet,507.36,4.761904762,25.368,7.4,PD002,Electronic accessories,,,,PID215,63.42,PD004,,,,
645-78-8093,A,Normal,Female,PID212,2,9.314,195.594,1/20/2019,18:09,Ewallet,186.28,4.761904762,9.314,4.1,PD003,Home and lifestyle,,,,PID216,93.14,PD001,,,,
478-06-7835,A,Normal,Male,PID213,1,4.4845,94.1745,1/11/2019,11:20,Ewallet,89.69,4.761904762,4.4845,4.9,PD004,Sports and travel,,,,PID217,89.69,PD001,,,,
540-11-4336,A,Normal,Male,PID214,9,11.223,235.683,1/11/2019,16:49,Credit card,224.46,4.761904762,11.223,5.6,PD004,Sports and travel,,,,PID218,24.94,PD005,,,,
448-81-5016,A,Normal,Male,PID215,2,5.977,125.517,3/11/2019,12:01,Credit card,119.54,4.761904762,5.977,5.8,PD004,Sports and travel,,,,PID219,59.77,PD003,,,,
290-68-2984,A,Normal,Male,PID216,4,4.75,99.75,3/16/2019,11:22,Cash,95,4.761904762,4.75,5.2,PD001,Health and beauty,,,,PID22,23.75,PD001,,,,
850-41-9669,A,Normal,Female,PID217,9,33.777,709.317,3/19/2019,13:25,Ewallet,675.54,4.761904762,33.777,6.2,PD001,Health and beauty,,,,PID220,75.06,PD006,,,,
633-91-1052,A,Normal,Female,PID218,2,1.203,25.263,1/27/2019,15:51,Cash,24.06,4.761904762,1.203,5.1,PD005,Food and beverages,,,,PID221,12.03,PD001,,,,
